Rating (Stars),Number of Reviews,Free Delivery,Storage,New Bought Last Month,New Dashed MRP,New Discount (%),RAM,Brand_apple,Brand_oneplus,Brand_oppo,Brand_realme,Brand_samsung,Brand_vivo,Brand_xiaomi,Color_Black,Color_Black Titanium,Color_Blue,Color_Blue Titanium,Color_Gold,Color_Gray,Color_Green,Color_Midnight,Color_Natural Titanium,Color_Pink,Color_Purple,Color_Red,Color_Silver,Color_Starlight,Color_White,Color_Yellow
1.0,-0.21504036374767688,-1,-0.6310130210636709,-0.3726287386455052,1.6601410147610511,-0.323077,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.944444,-0.10516439880653874,-1,0.5662937368520125,-0.25254370147722044,1.6601410147610511,-0.507692,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.833333,-0.29810136105437063,-1,0.5662937368520125,-0.4326712572296476,4.010935440689988,-0.415385,-0.6521719925422409,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.888889,-0.2792164295801125,-1,0.5662937368520125,-0.4326712572296476,3.8136425941326526,-0.507692,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.888889,-0.2792164295801125,-1,2.960907252683379,-0.49271377581378994,4.67972475105384,-0.323077,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.944444,-0.10516439880653874,-1,2.960907252683379,-0.49271377581378994,2.3389621647803605,-0.384615,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.888889,-0.2792164295801125,1,0.5662937368520125,-0.49271377581378994,4.010935440689988,-0.446154,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.944444,0.16437507768969076,1,0.5662937368520125,-0.49271377581378994,1.3257463595791255,-0.507692,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.944444,0.16437507768969076,1,2.960907252683379,-0.49271377581378994,2.0045675095984348,-0.292308,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,-0.21504036374767688,1,0.5662937368520125,-0.4326712572296476,1.9945356699429768,-0.630769,-0.6521719925422409,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.944444,2.2689412722430533,-1,2.960907252683379,-0.49271377581378994,1.6701728544165089,-0.446154,-1.4368992681215225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.944444,-0.10516439880653874,-1,2.960907252683379,-0.49271377581378994,2.3389621647803605,-0.415385,-0.6521719925422409,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.944444,0.16437507768969076,-1,2.960907252683379,-0.49271377581378994,2.0045675095984348,-0.292308,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.944444,-0.13492247264476365,-1,0.5662937368520125,-0.49271377581378994,2.0045675095984348,-0.230769,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.944444,-0.10516439880653874,-1,0.5662937368520125,-0.49271377581378994,1.6701728544165089,-0.507692,-0.6521719925422409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.944444,-0.13492247264476365,-1,0.5662937368520125,-0.49271377581378994,2.0045675095984348,-0.169231,-0.6521719925422409,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.944444,0.16437507768969076,-1,2.960907252683379,-0.49271377581378994,2.0045675095984348,-0.292308,-0.6521719925422409,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-0.21504036374767688,-1,0.5662937368520125,-0.49271377581378994,1.9945356699429768,-0.6,-0.6521719925422409,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
