Rating (Stars),Number of Reviews,Current MRP,Free Delivery,Brand,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
3.7,13.0,26999.0,1,oneplus,256.0,Silver,0,46999,43.0,12.0
2.9,108.0,15999.0,0,oneplus,128.0,Blue,0,21999,27.0,8.0
4.4,2243.0,61999.0,0,oneplus,256.0,Green,0,61999.0,0.0,16.0
1.0,2.0,17999.0,0,oneplus,128.0,Green,0,33999,47.0,8.0
1.8,3.0,17999.0,0,oneplus,128.0,Black,0,54999,67.0,8.0
3.6,4.0,14999.0,0,oneplus,128.0,Black,0,16999,12.0,8.0
4.4,762.0,40999.0,0,oneplus,256.0,Gray,200,47999,15.0,12.0
4.4,476.0,61999.0,1,oneplus,256.0,Black,100,64999,5.0,12.0
4.2,623.0,56999.0,1,oneplus,128.0,Black,0,56999.0,0.0,8.0
3.9,11.0,9999.0,1,oppo,128.0,Red,50,13999,29.0,4.0
3.9,11.0,8999.0,1,oppo,64.0,Red,300,12999,31.0,4.0
4.0,360.0,29999.0,1,oppo,256.0,Black,500,34999,14.0,8.0
3.3,101.0,20999.0,1,oppo,128.0,Green,300,26999,22.0,8.0
3.9,38.0,15999.0,1,oppo,128.0,Red,200,19999,20.0,6.0
3.8,184.0,17999.0,1,oppo,128.0,Black,200,20999,14.0,8.0
3.3,101.0,22999.0,1,oppo,256.0,Green,400,28999,21.0,8.0
4.2,8.0,8999.0,1,oppo,64.0,Blue,100,12999,31.0,4.0
3.3,101.0,17694.0,1,oppo,128.0,Green,50,25900,32.0,8.0
3.5,81.0,13499.0,1,oppo,128.0,Black,100,15999,16.0,4.0
4.0,360.0,29999.0,1,oppo,256.0,Pink,200,34999,14.0,8.0
3.9,38.0,15999.0,1,oppo,128.0,Blue,100,19999,20.0,6.0
3.2,28.0,31450.0,1,oppo,256.0,White,50,44999,30.0,12.0
3.5,81.0,12499.0,1,oppo,64.0,Black,50,14999,17.0,4.0
3.8,184.0,19999.0,1,oppo,256.0,Black,100,22999,13.0,8.0
3.8,184.0,19999.0,1,oppo,256.0,Black,100,22999,13.0,8.0
3.8,184.0,17999.0,1,oppo,128.0,Black,50,20999,14.0,8.0
3.3,101.0,20999.0,1,oppo,128.0,Black,50,26999,22.0,8.0
4.0,360.0,27999.0,1,oppo,128.0,Pink,50,32999,15.0,8.0
3.5,81.0,13499.0,1,oppo,128.0,Black,50,15999,16.0,4.0
3.5,81.0,13499.0,1,oppo,128.0,White,0,15999,16.0,4.0
3.3,101.0,22999.0,1,oppo,256.0,Black,100,28999,21.0,8.0
3.5,81.0,12499.0,1,oppo,64.0,White,0,14999,17.0,4.0
3.5,81.0,12499.0,1,oppo,64.0,Black,0,14999,17.0,4.0
4.3,11035.0,16999.0,1,oppo,64.0,Black,0,28990,41.0,6.0
4.2,22350.0,11799.0,1,oppo,128.0,Black,0,17990,34.0,4.0
4.2,4740.0,12890.0,1,oppo,128.0,Black,0,18990,32.0,4.0
4.2,268.0,15499.0,0,oppo,128.0,Blue,0,21999,30.0,8.0
4.3,5569.0,18990.0,0,oppo,128.0,White,0,22990,17.0,8.0
3.4,3.0,5999.0,0,oppo,64.0,Blue,0,12999,54.0,3.0
3.3,101.0,19999.0,0,oppo,256.0,Black,0,28999,31.0,8.0
3.2,39.0,15999.0,0,oppo,256.0,Blue,0,24990,36.0,8.0
3.8,17.0,32996.0,0,oppo,256.0,Black,0,44999,27.0,12.0
4.0,1067.0,8499.0,0,realme,128.0,Blue,4000,10999,23.0,6.0
4.0,3700.0,12999.0,0,realme,128.0,Blue,4000,17999,28.0,6.0
4.1,116.0,12639.0,0,realme,128.0,Green,1000,18999,33.0,8.0
4.0,3700.0,12999.0,0,realme,128.0,Green,1000,17999,28.0,6.0
3.8,128.0,16799.0,0,realme,256.0,Black,500,25999,35.0,8.0
4.0,1632.0,12499.0,0,realme,128.0,Green,5000,14999,17.0,6.0
4.0,1632.0,12499.0,0,realme,128.0,Gold,3000,14999,17.0,6.0
4.1,447.0,16999.0,0,realme,128.0,Black,1000,19999,15.0,6.0
4.2,103.0,22499.0,0,realme,256.0,Blue,200,33999,34.0,12.0
4.1,5953.0,15498.0,0,realme,128.0,Gold,5000,24999,38.0,8.0
4.2,230.0,17999.0,0,realme,128.0,Black,1000,20999,14.0,8.0
4.0,3700.0,13999.0,0,realme,128.0,Green,1000,18999,26.0,8.0
4.1,156.0,13499.0,0,realme,128.0,Black,2000,18999,29.0,8.0
4.3,2693.0,35999.0,0,realme,256.0,Green,400,37999,5.0,12.0
4.0,1632.0,13499.0,1,realme,128.0,Green,4000,15999,16.0,8.0
4.1,1802.0,13999.0,1,realme,128.0,Green,500,20999,33.0,8.0
4.0,3700.0,13999.0,1,realme,128.0,Blue,1000,18999,26.0,8.0
4.1,1802.0,13999.0,1,realme,128.0,Blue,400,20999,33.0,8.0
4.0,1632.0,13499.0,1,realme,128.0,Gold,4000,15999,16.0,8.0
4.0,137.0,18429.0,1,realme,256.0,Blue,200,25999,29.0,8.0
4.0,308.0,16999.0,1,realme,128.0,Black,1000,19999,15.0,6.0
4.3,2693.0,32999.0,1,realme,256.0,Silver,400,35999,8.0,8.0
4.0,556.0,16299.0,1,realme,128.0,Red,100,21999,26.0,8.0
4.0,137.0,20920.0,1,realme,256.0,Blue,0,25999,20.0,12.0
4.3,267.0,17999.0,1,realme,128.0,Black,1000,20999,14.0,8.0
4.2,114.0,20999.0,1,realme,256.0,Black,500,23999,13.0,12.0
4.0,1632.0,11499.0,1,realme,128.0,Green,500,13999,18.0,4.0
4.0,257.0,22689.0,1,realme,256.0,Black,50,31999,29.0,8.0
4.0,1632.0,11499.0,1,realme,128.0,Gold,300,13999,18.0,4.0
4.1,266.0,12499.0,1,realme,128.0,Green,500,17999,31.0,6.0
4.0,29.0,20999.0,1,realme,256.0,Green,100,23999,13.0,12.0
4.1,12.0,12970.0,1,realme,128.0,Red,100,18999,32.0,8.0
4.0,46.0,14540.0,1,realme,128.0,Green,300,21999,34.0,8.0
4.3,2693.0,39999.0,1,realme,512.0,Silver,50,41999,5.0,12.0
4.3,2693.0,30999.0,1,realme,128.0,Silver,200,33999,9.0,8.0
4.3,2693.0,39999.0,1,realme,512.0,Green,50,41999,5.0,12.0
3.9,289.0,18949.0,1,realme,256.0,Green,50,25999,27.0,8.0
4.0,46.0,16290.0,1,realme,256.0,Green,300,22999,29.0,8.0
3.9,671.0,10900.0,1,realme,128.0,Gold,0,11999,9.0,4.0
4.1,466.0,25888.0,1,realme,256.0,Black,100,35990,28.0,8.0
4.1,466.0,27799.0,1,realme,256.0,Blue,0,35999,23.0,8.0
4.1,466.0,26963.0,1,realme,256.0,Black,50,37999,29.0,12.0
4.1,1802.0,15999.0,1,realme,128.0,Blue,0,19999,20.0,6.0
3.9,39.0,16499.0,1,realme,128.0,Black,0,23999,31.0,8.0
3.8,15.0,11964.0,1,realme,128.0,Green,50,13999,15.0,6.0
4.0,957.0,8499.0,1,realme,64.0,Black,100,9999,15.0,4.0
4.0,237.0,12990.0,1,realme,128.0,Black,300,17999,28.0,6.0
3.6,12.0,11800.0,1,realme,128.0,Gold,50,15999,26.0,6.0
4.3,2693.0,32999.0,1,realme,256.0,Green,300,35999,8.0,8.0
4.1,466.0,23599.0,1,realme,256.0,Red,100,35999,34.0,8.0
4.0,46.0,14687.0,1,realme,128.0,Black,100,21999,33.0,8.0
4.3,2693.0,35999.0,1,realme,256.0,Silver,300,37999,5.0,12.0
