Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%)
Apple iPhone 16 (256 GB) - Black,4.4,62,100+ bought in past month,89900,,,0,Apple,iPhone 16,256GB,Black,100,89900,0.0
Apple iPhone 14 (128 GB) - Blue,4.5,"5,676",200+ bought in past month,54900,₹69600,(21% off),0,Apple,iPhone 14,128GB,Blue,200,69600,21.0
Apple iPhone 13 (128GB) - Midnight,4.5,"31,007",5K+ bought in past month,45499,₹59600,(24% off),0,Apple,iPhone 13,128GB,Midnight,5000,59600,24.0
Apple iPhone 13 (128GB) - Starlight,4.5,"31,007",5K+ bought in past month,45499,₹59900,(24% off),0,Apple,iPhone 13,128GB,Starlight,5000,59900,24.0
Apple iPhone 13 (128GB) - (Product) RED,4.5,"31,007",1K+ bought in past month,45499,₹69900,(35% off),0,Apple,iPhone 13,128GB,,1000,69900,35.0
Apple iPhone 13 (128GB) - Blue,4.5,"31,007",5K+ bought in past month,45499,₹59600,(24% off),0,Apple,iPhone 13,128GB,Blue,5000,59600,24.0
Apple iPhone 16 (128 GB) - Black,4.4,62,500+ bought in past month,79900,,,0,Apple,iPhone 16,128GB,Black,500,79900,0.0
Apple iPhone 13 (128GB) - Green,4.5,"31,007",5K+ bought in past month,45499,₹59600,(24% off),0,Apple,iPhone 13,128GB,Green,5000,59600,24.0
Apple iPhone 15 (128 GB) - Blue,4.5,"2,376",500+ bought in past month,65900,₹79600,(17% off),0,Apple,iPhone 15,128GB,Blue,500,79600,17.0
Apple iPhone 13 (128GB) - Pink,4.5,"31,007",5K+ bought in past month,45499,₹59900,(24% off),0,Apple,iPhone 13,128GB,Pink,5000,59900,24.0
Apple iPhone 16 (128 GB) - Ultramarine,4.4,62,400+ bought in past month,77900,₹79900,(3% off),0,Apple,iPhone 16,128GB,Ultramarine,400,79900,3.0
Apple iPhone 15 (128 GB) - Black,4.5,"2,376",400+ bought in past month,65900,₹79600,(17% off),0,Apple,iPhone 15,128GB,Black,400,79600,17.0
Apple iPhone 16 Pro (128 GB) - Natural Titanium,3.7,36,100+ bought in past month,119900,,,0,Apple,iPhone 16 Pro,128GB,Natural Titanium,100,119900,0.0
Apple iPhone 16 (128 GB) - White,4.4,62,400+ bought in past month,77900,₹79900,(3% off),0,Apple,iPhone 16,128GB,White,400,79900,3.0
Apple iPhone 16 (128 GB) - Pink,4.4,62,100+ bought in past month,77900,₹79900,(3% off),0,Apple,iPhone 16,128GB,Pink,100,79900,3.0
Apple iPhone 14 (128 GB) - Blue,4.5,"5,676",200+ bought in past month,54900,₹69600,(21% off),0,Apple,iPhone 14,128GB,Blue,200,69600,21.0
Apple iPhone 16 (128 GB) - Teal,4.4,62,300+ bought in past month,79900,,,0,Apple,iPhone 16,128GB,Teal,300,79900,0.0
Apple iPhone 15 Plus (128 GB) - Blue,4.6,"1,061",200+ bought in past month,69900,₹89600,(22% off),0,Apple,iPhone 15 Plus,128GB,Blue,200,89600,22.0
