Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%)
Apple iPhone 15 (128 GB) - Green,4.5,"2,376",200+ bought in past month,65900.0,₹79900,(18% off),0,Apple,iPhone 15,128GB,Green,200,79900,18.0
Apple iPhone 13 (256GB) - Pink,4.5,"31,007",500+ bought in past month,54999.0,₹69900,(21% off),0,Apple,iPhone 13,256GB,Pink,500,69900,21.0
Apple iPhone 16 Plus (128 GB) - Black,4.1,50,100+ bought in past month,86900.0,₹89900,(3% off),0,Apple,iPhone 16 Plus,128GB,Black,100,89900,3.0
Apple iPhone 13 (256GB) - Starlight,4.5,"31,007",1K+ bought in past month,54999.0,₹69900,(21% off),0,Apple,iPhone 13,256GB,Starlight,1000,69900,21.0
Apple iPhone 15 Pro Max (256 GB) - White Titanium,4.4,372,100+ bought in past month,124900.0,₹154000,(19% off),0,Apple,iPhone 15 Pro Max,256GB,White Titanium,100,154000,19.0
Apple iPhone 15 (256 GB) - Black,4.5,"2,376",200+ bought in past month,77490.0,₹89600,(14% off),0,Apple,iPhone 15,256GB,Black,200,89600,14.0
Apple iPhone 14 (256 GB) - Blue,4.5,"5,676",M.R.P:,69900.0,₹79900,(13% off),0,Apple,iPhone 14,256GB,Blue,0,79900,13.0
Apple iPhone 16 Pro Max (256 GB) - Natural Titanium,5.0,7,200+ bought in past month,144900.0,₹144990,,0,Apple,iPhone 16 Pro Max,256GB,Natural Titanium,200,144990,0.0
Apple iPhone 16 Plus (128 GB) - Ultramarine,4.1,50,100+ bought in past month,86900.0,₹89900,(3% off),0,Apple,iPhone 16 Plus,128GB,Ultramarine,100,89900,3.0
Apple iPhone 15 (256 GB) - Blue,4.5,"2,376",100+ bought in past month,75900.0,₹89600,(15% off),0,Apple,iPhone 15,256GB,Blue,100,89600,15.0
Apple iPhone 15 (256 GB) - Yellow,4.5,"2,376",M.R.P:,75900.0,₹89900,(16% off),0,Apple,iPhone 15,256GB,Yellow,0,89900,16.0
Apple iPhone 15 (128 GB) - Pink,4.5,"2,376",100+ bought in past month,65900.0,₹79600,(17% off),0,Apple,iPhone 15,128GB,Pink,100,79600,17.0
Apple iPhone 13 (256GB) - Blue,4.5,"31,007",500+ bought in past month,54999.0,₹69900,(21% off),0,Apple,iPhone 13,256GB,Blue,500,69900,21.0
Apple iPhone 15 Plus (256 GB) - Yellow,4.6,"1,061",M.R.P:,86990.0,₹99900,(13% off),0,Apple,iPhone 15 Plus,256GB,Yellow,0,99900,13.0
