Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Xiaomi 12 Pro | 5G (Noir Black, 12GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon",3.9,"4,000",0,42999.0,₹84999,(49% off),Yes,Xiaomi,Xiaomi 12 Pro | 5G ,Black,12GB,256GB,0,84999,49.0
"Redmi Note 12 Pro 5G (Onyx Black, 12GB RAM, 256GB Storage)",4.0,56,0,21999.0,₹32999,(33% off),No,Redmi,Redmi Note 12 Pro 5G ,Black,12GB,256GB,0,32999,33.0
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"Xiaomi Mi 11 Lite (Jazz Blue, 8GB RAM, 128GB Storage)",3.7,232,0,12920.0,₹25999,(50% off),No,Xiaomi,Xiaomi Mi 11 Lite ,Blue,8GB,128GB,0,25999,50.0
"Xiaomi 14 CIVI (Matcha Green, 8GB RAM, 256GB Storage)",4.2,6,0,38999.0,₹54999,(29% off),No,Xiaomi,Xiaomi 14 CIVI ,Green,8GB,256GB,0,54999,29.0
"Xiaomi 14 CIVI (Cruise Blue, 12GB RAM, 512GB Storage)",4.5,2,0,45999.0,₹59999,(23% off),No,Xiaomi,Xiaomi 14 CIVI ,Blue,12GB,512GB,0,59999,23.0
"Redmi Note 13 Pro (Midnight Black, 12GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",300+ bought in past month,25999.0,₹32999,(21% off),No,Redmi,Redmi Note 13 Pro ,Black,12GB,256GB,300,32999,21.0
"Redmi Note 13 Pro+ World Champions Edition (Victory Blue, 12GB RAM, 512GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,50+ bought in past month,34999.0,₹44999,(22% off),No,Redmi,Redmi Note 13 Pro+ World Champions Edition ,Blue,12GB,512GB,50,44999,22.0
"Redmi Note 13 Pro (Coral Purple, 12GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",500+ bought in past month,25999.0,₹32999,(21% off),No,Redmi,Redmi Note 13 Pro ,Red,12GB,256GB,500,32999,21.0
"Redmi Note 13 Pro+ (Fusion Purple, 12GB RAM, 512GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,500+ bought in past month,31999.0,₹37999,(16% off),No,Redmi,Redmi Note 13 Pro+ ,Red,12GB,512GB,500,37999,16.0
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,15999.0,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,Black,6GB,128GB,500,20999,24.0
"Xiaomi 14 CIVI (Cruise Blue, 12GB RAM, 512GB Storage)",4.5,2,0,45999.0,₹59999,(23% off),Yes,Xiaomi,Xiaomi 14 CIVI ,Blue,12GB,512GB,0,59999,23.0
"Redmi Note 13 Pro+ (Fusion Black, 12GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,100+ bought in past month,29999.0,₹35999,(17% off),Yes,Redmi,Redmi Note 13 Pro+ ,Black,12GB,256GB,100,35999,17.0
"Redmi Note 13 Pro+ World Champions Edition (Victory Blue, 12GB RAM, 512GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,50+ bought in past month,34999.0,₹44999,(22% off),Yes,Redmi,Redmi Note 13 Pro+ World Champions Edition ,Blue,12GB,512GB,50,44999,22.0
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 12GB RAM, 256GB Storage)|SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.1,"3,947",0,26980.0,₹54999,(51% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone ,Black,12GB,256GB,0,54999,51.0
"Redmi Note 13 Pro (Coral Purple, 12GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",500+ bought in past month,25999.0,₹32999,(21% off),Yes,Redmi,Redmi Note 13 Pro ,Red,12GB,256GB,500,32999,21.0
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,15999.0,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,Black,6GB,128GB,500,20999,24.0
