Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999,₹20999,(24% off),No,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"Redmi Note 10T 5G (Graphite Black, 6GB RAM, 128GB Storage) | Dual5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor | 22.5W Charger Included",4.1,"101,748",0,13479,₹18999,(29% off),No,Redmi,Redmi Note 10T 5G ,Black,6GB,128GB,0,18999,29.0
