Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Midkart Electroplated Hinge Protection Cover Compatible with OnePlus Open (Release 2023) with Front Tempered Glass Case Built-in Kickstand Protective, Transparent & Black",3.0,4,M.R.P:,1999,₹4999,(60% off),Yes
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,8GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",3.9,936,500+ bought in past month,13499,₹17999,(25% off),Yes
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 256GB Storage)",4.2,"59,076",300+ bought in past month,18976,₹21999,(14% off),Yes
"OnePlus 12 (Flowy Emerald, 12GB RAM, 256GB Storage)",4.4,982,200+ bought in past month,61999,N/A,N/A,Yes
"OnePlus Bullets Wireless Z2 ANC Bluetooth in Ear Earphones with Mic, 45dB Hybrid ANC, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 28 Hrs Battery (Black)",4.1,"179,882",6K+ bought in past month,2299,₹2999,(23% off),Yes
"OnePlus Nord 4 5G (Mercurial Silver, 12GB RAM, 256GB Storage)",4.2,"1,694",500+ bought in past month,35999,N/A,N/A,Yes
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)",4.2,"59,076",100+ bought in past month,20358,₹21999,(7% off),Yes
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Acoustic Red)",4.1,"179,882",5K+ bought in past month,1499,₹2299,(35% off),Yes
"(Refurbished) OnePlus 10T 5G Moonstone Black, 12GB RAM, 256GB Storage",N/A,N/A,M.R.P.:,25399,₹54999,(54% off),Yes
"OnePlus 12R (Cool Blue, 8GB RAM, 256GB Storage)",4.2,332,300+ bought in past month,38999,₹42999,(9% off),Yes
"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with Up to 32Db Active Noise Cancellation,10Mins for 11Hours Fast Charging with Up to 43H Music Playback -Melodic White",4.2,"1,513",2K+ bought in past month,2299,₹2799,(18% off),Yes
IVJAR Printed Hard Back Case Cover & Compatible for OnePlus 12R 5G | OnePlus 12R | Cute Toy Art (Multicolor) - D1113,N/A,N/A,M.R.P:,289,₹699,(59% off),Yes
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [ Misty Grey ]",4.2,"80,522",8K+ bought in past month,1699,₹2299,(26% off),Yes
"OnePlus Buds Pro 3 Bluetooth TWS in-Ear Buds - Dual Drivers, Dual DACs, Dynaudio EQs, Up to 50dB Adaptive Noise Cancellation, Up to 43Hrs Battery [Midnight Opus]",4.2,162,300+ bought in past month,10999,₹13999,(21% off),Yes
"OnePlus 12 (Glacial White, 12GB RAM, 256GB Storage)",4.5,198,100+ bought in past month,61999,₹64999,(5% off),Yes
"OnePlus Bullets Wireless Z2 ANC Bluetooth in Ear Earphones with Mic, 45dB Hybrid ANC, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 28 Hrs Battery (Grand Green)",4.1,"179,882",3K+ bought in past month,1999,₹2999,(33% off),Yes
"OnePlus 11 5G (Eternal Green, 8GB RAM, 128GB Storage)",4.2,"1,067",N/A,56999,N/A,N/A,Yes
"Oneplus Open (Emerald Dusk, 16GB RAM, 512GB Storage)",4.3,178,300+ bought in past month,99999,₹139999,(29% off),Yes
"OnePlus Buds 3 in Ear TWS Bluetooth Earbuds with Upto 49dB Smart Adaptive Noise Cancellation,Hi-Res Sound Quality,Sliding Volume Control,10mins for 7Hours Fast Charging with Upto 44Hrs Playback(Gray)",4.3,"5,170",4K+ bought in past month,4999,₹6499,(23% off),Yes
"(Refurbished) OnePlus 9RT 5G Nano Silver, 12GB RAM, 256GB Storage +Alexa hands-free capable",3.7,13,M.R.P.:,26999,₹46999,(43% off),Yes
IVJAR Printed Colorful Hard Back Case Cover & Compatible for OnePlus 7 / OnePlus 6T | Green Peacock Feature Art (Multicolor) - D1022,4.0,2,M.R.P:,289,₹699,(59% off),Yes
RINPAK Printed Colorful Hard Back Case Cover & Compatible for OnePlus 9R | Cute Puppy Dog Lover (Multicolor) - D1014,5.0,1,M.R.P:,289,₹699,(59% off),Yes
