Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"OPPO A3X 5G (Starlight White, 4GB RAM, 128GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.4,77,50+ bought in past month,13499.0,₹15999,(16% off),Yes,Unknown,,White,4GB,128GB,50,15999,16.0
"Oppo F27 5G (Amber Orange, 8GB RAM, 256GB Storage) | 6.67"" FHD+ AMOLED Display|32MP Sony IMX615 Selfie Camera |AI Portrait Expert| 45W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",3.0,12,50+ bought in past month,22999.0,₹28999,(21% off),Yes,Oppo,Oppo F27 5G ,Black,8GB,256GB,50,28999,21.0
"Oppo F27 Pro+ 5G (Dusk Pink, 8GB RAM, 128GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",3.9,44,50+ bought in past month,27999.0,₹32999,(15% off),Yes,Oppo,Oppo F27 Pro+ 5G ,Pink,8GB,128GB,50,32999,15.0
"(Refurbished) Oppo A17k (Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",3.4,3,0,5999.0,₹12999,(54% off),Yes,Oppo,Oppo A17k ,Blue,3GB,64GB,0,12999,54.0
"OPPO A3X 4G (Ocean Blue, 4GB RAM, 64GB Storage) | with No Cost EMI/Additional Exchange Offers",4.7,13,200+ bought in past month,8999.0,₹12999,(31% off),Yes,Unknown,,Blue,4GB,64GB,200,12999,31.0
"OPPO A3X 5G (Sparkle Black, 4GB RAM, 64GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.4,77,0,12499.0,₹14999,(17% off),Yes,Unknown,,Black,4GB,64GB,0,14999,17.0
"OPPO A3X 5G (Starlight White, 4GB RAM, 64GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.4,77,0,12499.0,₹14999,(17% off),Yes,Unknown,,White,4GB,64GB,0,14999,17.0
"OPPO F27 5G (Emerald Green, 8GB RAM, 128GB Storage) Without Offer",5.0,1,50+ bought in past month,19228.0,₹26999,(29% off),Yes,Unknown,,Green,8GB,128GB,50,26999,29.0
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.2,"15,271",0,18999.0,₹20990,(9% off),No,Unknown,,Black,6GB,128GB,0,20990,9.0
"OPPO A9 2020 (Space Purple, 4GB RAM, 128GB Storage)",4.2,"1,470",0,13490.0,₹18990,(29% off),No,Unknown,,Black,4GB,128GB,0,18990,29.0
"OPPO F11 Pro (Thunder Black, 6GB RAM, 64GB Storage)",4.3,"2,472",0,17999.0,₹28990,(38% off),No,Unknown,,Black,6GB,64GB,0,28990,38.0
"(Refurbished) OPPO Reno3 Pro (Auroral Blue, 8GB RAM, 128GB Storage)",3.8,58,0,12999.0,₹29999,(57% off),No,Unknown,,Blue,8GB,128GB,0,29999,57.0
"Oppo Reno 11 Pro 5G (Rock Grey, 12GB RAM+ 256GB Storage)",3.8,17,0,32996.0,₹44999,(27% off),No,Oppo,Oppo Reno 11 Pro 5G ,Black,12GB,256GB,0,44999,27.0
"(Refurbished) Oppo A17 (Lake Blue, 4GB RAM, 64GB Storage)",3.5,9,0,9199.0,₹14999,(39% off),No,Oppo,Oppo A17 ,Blue,4GB,64GB,0,14999,39.0
"OPPO K10 (Blue Flame, 6GB RAM 128GB Storage)",4.1,469,0,14990.0,₹18999,(21% off),No,Unknown,,Blue,6GB,128GB,0,18999,21.0
"Oppo Reno7 Pro 5G (Startrails Blue, 12GB RAM, 256GB Storage)",4.1,416,0,33999.0,₹47990,(29% off),No,Oppo,Oppo Reno7 Pro 5G ,Blue,12GB,256GB,0,47990,29.0
"(Refurbished) Oppo A17k (Navy Blue, 3GB RAM, 64GB Storage)",3.5,10,0,5999.0,₹12999,(54% off),No,Oppo,Oppo A17k ,Blue,3GB,64GB,0,12999,54.0
"OPPO A9 2020 (Marine Green, 4GB RAM, 128GB Storage)",4.2,"1,470",0,13490.0,₹18990,(29% off),No,Unknown,,Green,4GB,128GB,0,18990,29.0
"(Refurbished) OPPO A58 (Glowing Black, 6GB RAM, 128GB Storage) | 5000 mAh Battery and 33W SUPERVOOC | 6.72"" FHD+ Punch Hole Display | Dual Stereo Speakers with No Cost EMI/Additional Exchange Offers",4.0,4,0,9499.0,₹15499,(39% off),No,Unknown,,Black,6GB,128GB,0,15499,39.0
"(Refurbished) Oppo A57 (Glowing Black,4GB RAM, 64GB Storage) Without Offer",2.8,18,0,8499.0,₹16990,(50% off),No,Oppo,Oppo A57 ,Black,4GB,64GB,0,16990,50.0
"(Refurbished) OPPO A16k (White, 3GB RAM, 32GB Storage)",2.8,10,0,7299.0,₹16999,(57% off),No,Unknown,,White,3GB,32GB,0,16999,57.0
"(Refurbished) Oppo F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W SUPERVOOC Charger | 64MP Rear Triple AI Camera with Microlens | 6.72"" FHD+ 120Hz Display | with Offers",3.2,26,0,16150.0,₹28999,(44% off),No,Oppo,Oppo F23 5G ,Gold,8GB,256GB,0,28999,44.0
