Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Vayro 20W PD/Type-C Adapter, Fast Charging for iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/14 Plus/14 Pro/Max, iPhone 13/12/11 Series",5.0,1,M.R.P:,499,₹1599,(69% off),No
"Otterbox Defender MagSafe iPhone 16 Plus Case, Black, US Military MIL Standard",5.0,1,M.R.P:,4499,₹6999,(36% off),No
Apple iPhone 15 (512 GB) - Green,4.5,"2,376",M.R.P:,94900,₹109900,(14% off),No
Apple iPhone 15 Plus (512 GB) - Yellow,4.6,"1,061",M.R.P:,99900,₹119900,(17% off),No
Apple iPhone 14 Plus (512 GB) - Blue,4.5,"2,055",M.R.P:,89900,₹119900,(25% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.5,"2,404",5K+ bought in past month,79999,₹149999,(47% off),No
Apple iPhone 14 Plus (256 GB) - Starlight,4.5,"2,055",M.R.P:,74900,₹99900,(25% off),No
Apple iPhone 12 (128GB) - Blue,5.0,1,N/A,N/A,N/A,N/A,No
Apple iPhone 14 (512 GB) - Blue,4.5,"5,676",M.R.P:,84900,₹99900,(15% off),No
"OnePlus 12R (Sunset Dune, 8GB RAM, 256GB Storage)",4.3,"4,024",2K+ bought in past month,42999,N/A,N/A,No
"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone",4.3,"7,710",2K+ bought in past month,21999,₹27999,(21% off),No
"realme NARZO 70 Pro 5G (Glass Green, 8GB RAM,128GB Storage) Dimensity 7050 5G Chipset | Horizon Glass Design | Segment 1st Flagship Sony IMX890 OIS Camera",4.1,"5,528",5K+ bought in past month,15498,₹24999,(38% off),No
Apple iPhone 15 Plus (512 GB) - Green,4.6,"1,061",M.R.P:,99900,₹119900,(17% off),No
Apple iPhone 14 Plus (512 GB) - Starlight,4.5,"2,055",M.R.P:,89900,₹119900,(25% off),No
Apple iPhone 14 Plus (512 GB) - Midnight,4.5,"2,055",M.R.P:,89900,₹119900,(25% off),No
"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",3.8,435,200+ bought in past month,33999,₹36999,(8% off),No
"OnePlus 12R (Iron Gray, 8 GB RAM, 256 GB Storage)",4.3,"4,024",2K+ bought in past month,42999,N/A,N/A,No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Cream, 12GB, 256GB Storage)",4.5,"2,404",5K+ bought in past month,79999,₹149000,(46% off),No
