Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,404",4K+ bought in past month,79999,₹149999,(47% off),No
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,380",200+ bought in past month,22999,₹28999,(21% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) Adventurer Pro Camshield Camera Slider Military Rugged Grade Finish TPU + PC Tough - Blue",N/A,N/A,M.R.P:,1799,₹3999,(55% off),No
"HighEnd Nillkin Compatible with Case iPhone 13 Pro Max, CamShield Armor Case with Kickstand & Camera Cover, Military Grade Case with Slide Lens Cover and Rotate Ring Stand (Green)",N/A,N/A,M.R.P:,1655,₹4999,(67% off),No
"HighEnd Nillkin Case for iPhone 11 Pro Max (6.5"" Inch) CamShield Camera Close & Open Case Protect Black Color PC Finish",N/A,N/A,M.R.P:,1456,₹1999,(27% off),No
"HighEnd Nillkin Case for Apple iPhone 13 Pro (6.1"") CamShield Armor Military Grade Camera Slider Protect Without Logo Cut Layered Protection TPU + PC Finish with Kickstand (Blue)",N/A,N/A,M.R.P:,1850,₹4999,(63% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) Qin Pro Camshield Camera Slider Genuine Classic Leather Flip Folio + Card Slot - Brown",N/A,N/A,M.R.P:,1645,₹3999,(59% off),No
"HighEnd Nillkin Polycarbonate Compatible with iPhone 13 Pro Case, Camshield Armor Case with Kickstand & Camera Cover, Military Grade Case with Slide Lens Cover and Rotate Ring Stand (Black)",N/A,N/A,M.R.P:,1700,₹4999,(66% off),No
"HighEnd Nillkin Polycarbonate Compatible with iPhone 13 Pro Case, Camshield Armor Case with Kickstand & Camera Cover, Military Grade Case with Slide Lens Cover and Rotate Ring Stand (Blue)",N/A,N/A,M.R.P:,1845,₹4999,(63% off),No
"HighEnd Nillkin Polycarbonate Compatible with iPhone 13 Pro Case, Camshield Armor Case with Kickstand & Camera Cover, Military Grade Case with Slide Lens Cover and Rotate Ring Stand (Green)",N/A,N/A,M.R.P:,1745,₹4999,(65% off),No
HighEnd Nillkin Case for Apple iPhone 13 Pro (6.1'') CamShield Armor Military Grade Camera Slider Protect Without Logo Cut Double Layered Protection TPU + PC Finish with Kickstand Blue,N/A,N/A,M.R.P:,1860,₹4999,(63% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) Qin Pro Camshield Camera Slider Genuine Classic Leather Flip Folio + Card Slot Red Color",N/A,N/A,M.R.P:,1645,₹2999,(45% off),No
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",4.0,324,50+ bought in past month,39999,₹42999,(7% off),No
"Nillkin Case for Apple iPhone 13 (6.1"" Inch) CamShield Silky Soft Liquid Silicon + PC Finish Camera Slider Magnetic Works with Magsafe Charger Inside Microfibre Purple",N/A,N/A,M.R.P:,2499,₹5999,(58% off),No
"HighEnd Nillkin Compatible with iPhone 12 Mini with Slide Camera Cover Slim Stylish Anti-Slip Scratchproof Protective Case for iPhone 12 Mini 5.4"" 2020 (Blue)",N/A,N/A,M.R.P:,1499,₹3999,(63% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Plus (6.7"" Inch) CamShield Armor Pro Camera Slider Magnetic Works with Magsafe Military 180° Rotate Ring Kick Stand Wireless Charging + PC Black",N/A,N/A,M.R.P:,3345,₹5999,(44% off),No
"HighEnd Nillkin Compatible with Case iPhone 12/12 Pro 6.1 inch - Military Grade Case with 360° Kickstand Ring Stand and Slide Camera Cover, PC & TPU Impact-Resistant Bumpers CamShield Armor Case, (Black)",N/A,N/A,M.R.P:,2556,₹4999,(49% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro Max (6.7"" Inch) Adventurer Pro Magnetic Works with Magsafe Military Rugged Camshield Camera Slider with Kickstand TPU + PC Impact Anti Shock Tough Black Color",N/A,N/A,M.R.P:,3445,₹4999,(31% off),No
