Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 13 (256GB) - Midnight,4.5,556,1K+ bought in past month,54999.0,₹69600,(21% off),1,Apple,iPhone 13,256GB,Midnight,1000,69600.0,21.0,4 or 6 GB
Apple iPhone 15 (256 GB) - Yellow,4.8,18,M.R.P:,75900.0,₹89900,(16% off),1,Apple,iPhone 15,256GB,Yellow,0,89900.0,16.0,6 GB
Apple iPhone 16 (256 GB) - Black,4.5,79,100+ bought in past month,89900.0,,,1,Apple,iPhone 16,256GB,Black,100,89900.0,0.0,8 GB
Apple iPhone 15 (256 GB) - Blue,4.4,176,200+ bought in past month,75900.0,₹89600,(15% off),1,Apple,iPhone 15,256GB,Blue,200,89600.0,15.0,6 GB
Apple iPhone 16 (256 GB) - Ultramarine,4.5,79,100+ bought in past month,89900.0,,,1,Apple,iPhone 16,256GB,Ultramarine,100,89900.0,0.0,8 GB
Apple iPhone 15 Plus (128 GB) - Pink,4.6,97,100+ bought in past month,69900.0,₹89600,(22% off),1,Apple,iPhone 15 Plus,128GB,Pink,100,89600.0,22.0,6 GB
Apple iPhone 15 (256 GB) - Black,4.5,218,200+ bought in past month,77490.0,₹89600,(14% off),1,Apple,iPhone 15,256GB,Black,200,89600.0,14.0,6 GB
Apple iPhone 16 (256 GB) - Teal,4.5,79,50+ bought in past month,89900.0,,,1,Apple,iPhone 16,256GB,Teal,50,89900.0,0.0,8 GB
Apple iPhone 16 Plus (128 GB) - Ultramarine,4.1,53,100+ bought in past month,86900.0,₹89900,(3% off),1,Apple,iPhone 16 Plus,128GB,Ultramarine,100,89900.0,3.0,8 GB
Apple iPhone 13 (256 GB) - Green,4.5,318,400+ bought in past month,54999.0,₹69600,(21% off),1,Apple,iPhone 13,256GB,Green,400,69600.0,21.0,4 or 6 GB
Apple iPhone 14 (128 GB) - Midnight,4.6,"1,331",100+ bought in past month,54900.0,₹69600,(21% off),1,Apple,iPhone 14,128GB,Midnight,100,69600.0,21.0,6 GB
Apple iPhone 15 (512 GB) - Yellow,5.0,1,M.R.P:,94900.0,₹109900,(14% off),1,Apple,iPhone 15,512GB,Yellow,0,109900.0,14.0,6 GB
Apple iPhone 15 (128 GB) - Pink,4.4,213,100+ bought in past month,65900.0,₹79600,(17% off),1,Apple,iPhone 15,128GB,Pink,100,79600.0,17.0,6 GB
Apple iPhone 16 Plus (128 GB) - Teal,4.1,53,100+ bought in past month,86900.0,₹89900,(3% off),1,Apple,iPhone 16 Plus,128GB,Teal,100,89900.0,3.0,8 GB
Apple iPhone 16 Plus (128 GB) - White,4.1,53,100+ bought in past month,86900.0,₹89900,(3% off),1,Apple,iPhone 16 Plus,128GB,White,100,89900.0,3.0,8 GB
Apple iPhone 16 Pro (128 GB) - White Titanium,3.8,44,100+ bought in past month,119900.0,,,0,Apple,iPhone 16 Pro,128GB,White Titanium,100,119900.0,0.0,8 GB
Apple iPhone 14 (128 GB) - Midnight,4.6,"1,331",100+ bought in past month,54900.0,₹69600,(21% off),0,Apple,iPhone 14,128GB,Midnight,100,69600.0,21.0,6 GB
Apple iPhone 15 Pro Max (1 TB) - Natural Titanium,3.0,10,M.R.P:,159900.0,₹199900,(20% off),0,,,,Red,0,199900.0,20.0,6 GB
Apple iPhone 16 (256 GB) - Pink,4.5,79,,89900.0,,,0,Apple,iPhone 16,256GB,Pink,0,89900.0,0.0,8 GB
Apple iPhone 15 Pro Max (1 TB) - Black Titanium,3.6,7,M.R.P:,159900.0,₹199900,(20% off),0,,,,Red,0,199900.0,20.0,6 GB
Apple iPhone 15 (128 GB) - Pink,4.4,213,100+ bought in past month,65900.0,₹79600,(17% off),0,Apple,iPhone 15,128GB,Pink,100,79600.0,17.0,6 GB
Apple iPhone 13 (256GB) - (Product) RED,4.5,401,50+ bought in past month,54999.0,₹69900,(21% off),0,Apple,iPhone 13,256GB,,50,69900.0,21.0,4 or 6 GB
Apple iPhone 15 (256 GB) - Pink,4.6,63,100+ bought in past month,77490.0,₹89600,(14% off),0,Apple,iPhone 15,256GB,Pink,100,89600.0,14.0,6 GB
Apple iPhone 13 Pro Max (1TB) - Silver,4.6,"1,561",M.R.P:,157900.0,₹179900,(12% off),0,,,,Red,0,179900.0,12.0,4 or 6 GB
Apple iPhone 15 Plus (128 GB) - Green,4.6,112,100+ bought in past month,69900.0,₹79900,(13% off),0,Apple,iPhone 15 Plus,128GB,Green,100,79900.0,13.0,6 GB
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,4.4,116,M.R.P:,134900.0,₹159900,(16% off),0,Apple,iPhone 15 Pro Max,256GB,Blue Titanium,0,159900.0,16.0,6 GB
Apple iPhone 15 Pro Max (512 GB) - Natural Titanium,4.7,4,M.R.P:,145900.0,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,Natural Titanium,0,179900.0,19.0,6 GB
Apple iPhone 15 Plus (256 GB) - Black,4.4,112,50+ bought in past month,86990.0,₹99600,(13% off),0,Apple,iPhone 15 Plus,256GB,Black,50,99600.0,13.0,6 GB
Apple iPhone 14 Plus (128 GB) - Blue,4.5,463,M.R.P:,69900.0,₹79900,(13% off),0,Apple,iPhone 14 Plus,128GB,Blue,0,79900.0,13.0,6 GB
Apple iPhone 16 Plus (128 GB) - Pink,4.1,53,50+ bought in past month,86900.0,₹89900,(3% off),0,Apple,iPhone 16 Plus,128GB,Pink,50,89900.0,3.0,8 GB
Apple iPhone 14 Plus (256 GB) - Yellow,4.3,35,M.R.P:,74900.0,₹99900,(25% off),0,Apple,iPhone 14 Plus,256GB,Yellow,0,99900.0,25.0,6 GB
Apple iPhone 14 Plus (128 GB) - Starlight,4.6,256,M.R.P:,64900.0,₹79600,(18% off),1,Apple,iPhone 14 Plus,128GB,Starlight,0,79600.0,18.0,6 GB
Apple iPhone 14 Plus (128 GB) - Midnight,4.6,339,M.R.P:,64900.0,₹79600,(18% off),1,Apple,iPhone 14 Plus,128GB,Midnight,0,79600.0,18.0,6 GB
Apple iPhone 16 Plus (256 GB) - Teal,4.1,53,50+ bought in past month,97900.0,₹99900,(2% off),1,Apple,iPhone 16 Plus,256GB,Teal,50,99900.0,2.0,8 GB
