Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%)
Apple iPhone 13 Pro Max (1TB) - Silver,4.6,"1,561",M.R.P:,157900,₹179900,(12% off),0,,,,Red,0,179900,12.0
Apple iPhone 15 Plus (512 GB) - Green,4.6,"1,061",M.R.P:,99900,₹119900,(17% off),0,Apple,iPhone 15 Plus,512GB,Green,0,119900,17.0
Apple iPhone 14 Plus (512 GB) - (Product) RED,4.5,"2,055",M.R.P:,89900,₹119900,(25% off),0,Apple,iPhone 14 Plus,512GB,,0,119900,25.0
Apple iPhone 13 Pro Max (128GB) - Gold,4.6,"1,561",M.R.P:,109000,₹129900,(16% off),0,Apple,iPhone 13 Pro Max,128GB,Gold,0,129900,16.0
Apple iPhone 13 Pro Max (1TB) - Sierra Blue,4.6,"1,561",M.R.P:,139900,₹179900,(22% off),0,,,,Red,0,179900,22.0
