Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 14 (128 GB) - Yellow,4.5,151,M.R.P:,54900,₹79900,(31% off),1,Apple,iPhone 14,128GB,Yellow,0,79900,31.0,6 GB
Apple iPhone 14 Plus (512 GB) - Midnight,4.2,8,M.R.P:,89900,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Midnight,0,119900,25.0,6 GB
Apple iPhone 16 Pro Max (512 GB) - Natural Titanium,5.0,2,,164900,,,1,Apple,iPhone 16 Pro Max,512GB,Natural Titanium,0,164900,0.0,8 GB
Apple iPhone 15 Pro Max (1 TB) - Blue Titanium,4.2,7,M.R.P:,159900,₹199900,(20% off),1,,,,Red,0,199900,20.0,6 GB
Apple iPhone 14 (512 GB) - Purple,4.1,5,M.R.P:,79900,₹99900,(20% off),1,Apple,iPhone 14,512GB,Purple,0,99900,20.0,6 GB
Apple iPhone 15 Plus (256 GB) - Yellow,4.4,14,50+ bought in past month,86990,₹99900,(13% off),1,Apple,iPhone 15 Plus,256GB,Yellow,50,99900,13.0,6 GB
Apple iPhone 14 (256 GB) - Starlight,4.6,98,M.R.P:,69900,₹89900,(22% off),1,Apple,iPhone 14,256GB,Starlight,0,89900,22.0,6 GB
Apple iPhone 15 Pro (1 TB) - Natural Titanium,4.4,7,M.R.P:,149900,₹184900,(19% off),1,,,,Red,0,184900,19.0,6 GB
Apple iPhone 15 Pro (1 TB) - Blue Titanium,3.4,4,M.R.P:,149900,₹184900,(19% off),1,,,,Red,0,184900,19.0,6 GB
Apple iPhone 14 Plus (512 GB) - Purple,4.7,12,M.R.P:,89900,₹119900,(25% off),1,Apple,iPhone 14 Plus,512GB,Purple,0,119900,25.0,6 GB
Apple iPhone 16 (512 GB) - White,4.5,79,,109900,,,1,Apple,iPhone 16,512GB,White,0,109900,0.0,8 GB
Apple iPhone 14 (256 GB) - (Product) RED,4.4,115,M.R.P:,66900,₹89900,(26% off),1,Apple,iPhone 14,256GB,,0,89900,26.0,6 GB
