Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 16 Pro (1 TB) - White Titanium,3.8,44,,169900,,,0,,,,Red,0,169900,0.0,8 GB
Apple iPhone 15 Pro Max (512 GB) - White Titanium,5.0,3,M.R.P:,145900,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,White Titanium,0,179900,19.0,6 GB
Apple iPhone 16 Pro (512 GB) - White Titanium,3.8,44,M.R.P:,149900,₹149999,,0,Apple,iPhone 16 Pro,512GB,White Titanium,0,149999,0.0,8 GB
Apple iPhone 16 Pro (512 GB) - Natural Titanium,3.8,44,,149900,,,0,Apple,iPhone 16 Pro,512GB,Natural Titanium,0,149900,0.0,8 GB
Apple iPhone 16 Pro (512 GB) - Desert Titanium,3.8,44,50+ bought in past month,149900,,,0,Apple,iPhone 16 Pro,512GB,Desert Titanium,50,149900,0.0,8 GB
Apple iPhone 15 Pro Max (512 GB) - Blue Titanium,4.2,5,M.R.P:,145900,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,Blue Titanium,0,179900,19.0,6 GB
Apple iPhone 16 Plus (256 GB) - Ultramarine,4.1,53,50+ bought in past month,97900,₹99900,(2% off),0,Apple,iPhone 16 Plus,256GB,Ultramarine,50,99900,2.0,8 GB
Apple iPhone 15 Pro Max (1 TB) - White Titanium,4.2,7,M.R.P:,159900,₹199900,(20% off),0,,,,Red,0,199900,20.0,6 GB
Apple iPhone 14 Plus (256 GB) - Purple,4.3,86,M.R.P:,74900,₹89900,(17% off),0,Apple,iPhone 14 Plus,256GB,Purple,0,89900,17.0,6 GB
Apple iPhone 14 (256 GB) - Purple,4.4,83,M.R.P:,66900,₹79600,(16% off),0,Apple,iPhone 14,256GB,Purple,0,79600,16.0,6 GB
Apple iPhone 13 (512GB) - Blue,4.3,29,M.R.P:,73999,₹89900,(18% off),0,Apple,iPhone 13,512GB,Blue,0,89900,18.0,4 or 6 GB
Apple iPhone 13 Pro Max (1TB) - Sierra Blue,4.6,"1,561",M.R.P:,139900,₹179900,(22% off),0,,,,Red,0,179900,22.0,4 or 6 GB
Apple iPhone 15 Plus (256 GB) - Pink,4.7,24,M.R.P:,86990,₹99900,(13% off),0,Apple,iPhone 15 Plus,256GB,Pink,0,99900,13.0,6 GB
Apple iPhone 15 (512 GB) - Black,4.1,6,M.R.P:,94900,₹109900,(14% off),0,Apple,iPhone 15,512GB,Black,0,109900,14.0,6 GB
