Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%),RAM
Apple iPhone 14 (512 GB) - Purple,4.1,5,M.R.P:,79900,₹99900,(20% off),1,Apple,iPhone 14,512GB,Purple,0,99900,20.0,6 GB
Apple iPhone 16 Pro (512 GB) - Black Titanium,3.8,44,,149900,,,1,Apple,iPhone 16 Pro,512GB,Black Titanium,0,149900,0.0,8 GB
Apple iPhone 15 (512 GB) - Black,4.1,6,M.R.P:,94900,₹109900,(14% off),1,Apple,iPhone 15,512GB,Black,0,109900,14.0,6 GB
Apple iPhone 15 Plus (256 GB) - Pink,4.7,24,M.R.P:,86990,₹99900,(13% off),1,Apple,iPhone 15 Plus,256GB,Pink,0,99900,13.0,6 GB
Apple iPhone 14 Pro (128 GB) - Space Black,4.5,134,,129900,,,1,Apple,iPhone 14 Pro,128GB,Space Black,0,129900,0.0,6 GB
Apple iPhone 14 (128 GB) - Yellow,4.5,151,M.R.P:,54900,₹79900,(31% off),1,Apple,iPhone 14,128GB,Yellow,0,79900,31.0,6 GB
Apple iPhone 15 Plus (128 GB) - Yellow,4.3,24,M.R.P:,69900,₹89900,(22% off),1,Apple,iPhone 15 Plus,128GB,Yellow,0,89900,22.0,6 GB
Apple iPhone 13 Pro Max (128GB) - Graphite,4.6,"1,561",M.R.P:,109000,₹129900,(16% off),1,Apple,iPhone 13 Pro Max,128GB,Graphite,0,129900,16.0,4 or 6 GB
Apple iPhone 15 Plus (512 GB) - Blue,5.0,1,M.R.P:,99900,₹119900,(17% off),1,Apple,iPhone 15 Plus,512GB,Blue,0,119900,17.0,6 GB
Apple iPhone 14 Plus (256 GB) - Starlight,4.5,84,M.R.P:,74900,₹99900,(25% off),1,Apple,iPhone 14 Plus,256GB,Starlight,0,99900,25.0,6 GB
Apple iPhone 14 (256 GB) - Yellow,4.2,26,M.R.P:,66900,₹89900,(26% off),1,Apple,iPhone 14,256GB,Yellow,0,89900,26.0,6 GB
Apple iPhone 15 Pro (1 TB) - Black Titanium,4.2,4,M.R.P:,149900,₹184900,(19% off),1,,,,Red,0,184900,19.0,6 GB
Apple iPhone 15 Pro Max (1 TB) - Blue Titanium,4.2,7,M.R.P:,159900,₹199900,(20% off),1,,,,Red,0,199900,20.0,6 GB
