Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,404",4K+ bought in past month,79999,₹149999,(47% off),Yes
Apple iPhone 14 Plus (256 GB) - Blue,4.5,"2,055",M.R.P:,74900,₹99900,(25% off),Yes
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",4.3,"4,024",2K+ bought in past month,45999,N/A,N/A,Yes
Apple iPhone 15 Pro Max (1 TB) - Blue Titanium,4.4,372,M.R.P:,159900,₹199900,(20% off),Yes
Apple iPhone 15 Plus (512 GB) - Black,4.6,"1,061",M.R.P:,99900,₹119900,(17% off),Yes
Apple iPhone 16 (512 GB) - White,4.4,62,N/A,109900,N/A,N/A,Yes
Apple iPhone 14 (512 GB) - Yellow,3.0,3,M.R.P:,89900,₹99600,(10% off),Yes
Apple iPhone 15 (512 GB) - Pink,4.5,"2,376",M.R.P:,94900,₹109900,(14% off),Yes
Apple iPhone 15 Pro Max (512 GB) - Black Titanium,4.4,372,M.R.P:,139900,₹173900,(20% off),Yes
"OnePlus 12R (Iron Gray, 8 GB RAM, 256 GB Storage)",4.3,"4,024",2K+ bought in past month,42999,N/A,N/A,Yes
Apple iPhone 15 Pro Max (512 GB) - White Titanium,4.4,372,M.R.P:,145900,₹179900,(19% off),Yes
Apple iPhone 15 Plus (512 GB) - Blue,4.6,"1,061",M.R.P:,99900,₹119900,(17% off),Yes
Apple iPhone 14 (256 GB) - (Product) RED,4.5,"5,676",M.R.P:,66900,₹89900,(26% off),Yes
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",4.2,"5,875",5K+ bought in past month,26999,N/A,N/A,Yes
Apple iPhone 15 Pro (1 TB) - Black Titanium,4.4,357,M.R.P:,149900,₹184900,(19% off),Yes
Apple iPhone 13 (512GB) - (Product) RED,4.5,"31,007",M.R.P:,73999,₹89900,(18% off),Yes
Apple iPhone 15 Pro (1 TB) - Natural Titanium,4.4,357,M.R.P:,149900,₹184900,(19% off),Yes
